index,geometry
372,POINT (122700.5700291361 486572.4095052216)
373,POINT (123527.4351421362 487290.2659971919)
374,POINT (123490.3823146367 487321.2223840366)
375,POINT (123541.7774340214 487395.0403674191)
376,POINT (122526.9621708381 486254.7199009122)
377,POINT (123228.353083126 487201.3712270057)
378,POINT (122924.6737667771 486893.3317805945)
379,POINT (122870.2158758035 486926.1469126496)
380,POINT (123396.4773271047 487320.2996702977)
381,POINT (121946.2633377416 486641.4390454046)
382,POINT (121984.1446962285 486650.4900940594)
383,POINT (123468.7363143692 486934.6322523591)
384,POINT (122294.3681783108 486683.3718764415)
385,POINT (122554.5423745642 487860.6603491753)
386,POINT (122561.0768560476 487862.1774010169)
387,POINT (122558.2080830655 487862.8108637122)
388,POINT (122521.1763143006 487870.5948380065)
389,POINT (122910.1382354099 486862.6348182149)
390,POINT (122146.876087206 486795.2447199696)
391,POINT (122093.5010571923 486765.3892076925)
392,POINT (122139.1874303302 486791.3407762747)
393,POINT (122135.5719435589 486812.997913574)
394,POINT (122148.289700754 486817.7063922648)
395,POINT (123271.142720087 487217.8724232168)
396,POINT (123801.7046888283 486842.7474201359)
397,POINT (123408.6092555752 487398.2079237585)
398,POINT (123458.3886399806 487366.1268523532)
399,POINT (122903.3625322449 486864.9485676543)
400,POINT (122897.9910035235 486869.8433696715)
401,POINT (122238.1357552178 485868.8840992655)
402,POINT (122131.5068692244 486816.200251746)
403,POINT (122719.9123037255 487021.8822145125)
404,POINT (123684.5660079255 486640.6914647798)
405,POINT (123916.94065786 487157.6368501584)
406,POINT (123852.6939536108 487094.2658404209)
407,POINT (123439.5765700846 487320.3780766118)
408,POINT (122689.7429277061 486561.7910297217)
409,POINT (123100.5332086646 487162.1677885748)
410,POINT (120684.6554919328 486262.4434714791)
411,POINT (121262.1756340112 487580.7934659351)
412,POINT (120916.1293725148 488550.915986973)
413,POINT (121286.8411838696 487576.9860487804)
414,POINT (121305.6862193933 487600.9469747941)
415,POINT (121973.3854453847 487860.6853770622)
416,POINT (122157.0189205081 487481.1876592729)
417,POINT (122225.070560006 487418.2048588204)
418,POINT (122177.5111403744 487456.9326263542)
419,POINT (122135.5928228712 487489.0348995937)
420,POINT (121974.5076134506 487806.2395844702)
421,POINT (121582.8346959444 486018.7732166561)
422,POINT (122003.9951101003 487700.7145896528)
423,POINT (120205.8105979809 487186.2322020011)
424,POINT (121518.2747890774 485767.4380766088)
425,POINT (121475.4093943016 485770.6963203711)
426,POINT (121232.9641063924 487530.933977083)
427,POINT (120438.4435329024 487884.0251783854)
428,POINT (120445.6828353122 487886.1567763159)
429,POINT (120482.4760098348 487894.3864823297)
430,POINT (120474.9402430027 487892.981940829)
